id,topic_id,timestamp,data
268,5,1714499532292834417,"[-14.815771748105288, -15.281915953850502, -16.42383673054583]"
279,5,1714499532392971499,"[-16.37524551200866, -16.86843458945054, -16.670384923091763]"
290,5,1714499532493960703,"[-15.036705601882772, -15.176723591021346, -16.318943735601998]"
301,5,1714499532594537917,"[-15.546560716908347, -16.592691640849242, -16.598323917062626]"
312,5,1714499532694233969,"[-16.35939208899661, -18.590644213311965, -17.105641713811824]"
323,5,1714499532794360892,"[-14.704720624548274, -16.192378307534174, -16.006771945416393]"
334,5,1714499532894158086,"[-14.406087870343574, -15.117654465546726, -15.750902623755227]"
345,5,1714499532994196252,"[-14.626373736836166, -15.014354239877727, -15.647815372899807]"
356,5,1714499533094130993,"[-15.923183367528413, -17.353190303681355, -16.009709743153653]"
367,5,1714499533194333679,"[-15.704059449840262, -17.641742694686982, -15.937879662912959]"
378,5,1714499533294159336,"[-15.095298612759684, -16.70197309601556, -16.296772538663063]"
389,5,1714499533395082083,"[-12.606406542348639, -13.003387280981093, -14.024968011615565]"
400,5,1714499533495078551,"[-14.667304760895465, -15.594196434735068, -15.153561805832513]"
411,5,1714499533594051935,"[-12.434482720936964, -12.413876491457614, -13.636370085820845]"
422,5,1714499533693665969,"[-13.723160251839513, -14.0490145546464, -13.974882847792106]"
433,5,1714499533793734755,"[-13.604154205090524, -13.861569713978064, -13.292485806147216]"
444,5,1714499533893589099,"[-13.604915304216995, -14.036230374918983, -13.119346716676656]"
455,5,1714499533994465275,"[-12.519196187700118, -12.460123384311798, -12.518265321610329]"
466,5,1714499534093402050,"[-12.81528509356592, -12.975883014180738, -12.520965792955534]"
477,5,1714499534193700169,"[-12.816143511937282, -13.147107655352903, -12.35145596999939]"
488,5,1714499534293265486,"[-12.816990220977914, -13.318324065932954, -12.181931081302848]"
499,5,1714499534393538497,"[-12.695453778719184, -12.620338829473367, -12.0233648846745]"
510,5,1714499534492742437,"[-13.018161877361322, -13.31006680470714, -13.293803195045786]"
521,5,1714499534593407830,"[-11.568094451669008, -11.559473808605368, -12.043029124343631]"
532,5,1714499534693795943,"[-12.728631149984984, -12.360468413419014, -12.418627788620224]"
543,5,1714499534794253958,"[-14.131856016503606, -13.924079415395441, -13.11835211242992]"
554,5,1714499534894813490,"[-12.333383023068096, -11.81996677221774, -12.102041622320723]"
565,5,1714499534994187508,"[-11.238856174687793, -10.220988616161263, -11.362291695333653]"
576,5,1714499535094122374,"[-12.89894791570342, -12.008026648536331, -12.430604073267883]"
587,5,1714499535193825763,"[-13.227937127455684, -12.433472890803403, -12.660101433366018]"
598,5,1714499535295047571,"[-12.180901121464972, -11.096773534351676, -11.917284515088138]"
609,5,1714499535394139322,"[-12.539209646680082, -11.721518059450304, -12.003672582452337]"
620,5,1714499535493897912,"[-11.385130116452338, -9.637101969979181, -11.081671004589897]"
631,5,1714499535593905243,"[-11.512984505237794, -10.312236884199605, -11.245421015653916]"
642,5,1714499535694247973,"[-12.11490414264874, -10.919291538811574, -11.293219004220235]"
653,5,1714499535794165540,"[-12.316427827924167, -10.652614348327445, -11.361371276511155]"
664,5,1714499535893708129,"[-12.655699315089922, -11.68015254670467, -12.424911694824635]"
675,5,1714499535992849818,"[-10.683548934816233, -9.46417558777412, -11.09408211892777]"
686,5,1714499536093235686,"[-11.41723343894232, -11.171053881342209, -11.523959722387245]"
697,5,1714499536192894937,"[-10.484887060027043, -9.726760901559699, -11.025953682603486]"
708,5,1714499536292938993,"[-10.484887060027043, -9.726760901559699, -11.025953682603486]"
719,5,1714499536393449824,"[-11.953066646940574, -11.1730877523819, -11.991773843230181]"
730,5,1714499536493589885,"[-10.9360434990946, -10.918703546440721, -10.814073076469612]"
741,5,1714499536592874502,"[-9.786156749596369, -9.315860572611077, -10.037370911266272]"
752,5,1714499536692955465,"[-10.712463673084553, -10.225713250383603, -10.985545625519116]"
763,5,1714499536792899327,"[-10.145341995102838, -9.581669885345994, -10.421089489032248]"
774,5,1714499536892873658,"[-9.952232719243455, -10.167638693502212, -10.031106611987708]"
785,5,1714499536992878147,"[-9.37855847508985, -9.349663069568056, -9.622712100936969]"
796,5,1714499537093704674,"[-9.121445462386935, -8.238452509528065, -9.568323408847892]"
807,5,1714499537194359805,"[-10.024268347325664, -9.234793200860613, -9.944515748675963]"
818,5,1714499537293719301,"[-10.149648045419836, -10.236636725255671, -9.774687738902683]"
829,5,1714499537393747304,"[-8.630667165451825, -8.585797523397668, -8.81286871924384]"
840,5,1714499537493753465,"[-10.010623222375509, -11.212409603146833, -10.341790745103868]"
851,5,1714499537593822274,"[-9.185546224569054, -9.444239769914155, -9.717239886051766]"
862,5,1714499537693788760,"[-9.635741362047916, -9.750903926587801, -9.811638657907244]"
873,5,1714499537793474434,"[-9.474062273895216, -10.695628851572108, -10.351460931524779]"
884,5,1714499537893304652,"[-8.895763255170172, -9.32363348804562, -9.905535255329976]"
895,5,1714499537993717286,"[-9.18428128220102, -9.121089784122422, -10.037867519851584]"
906,5,1714499538094165002,"[-9.390467445545815, -9.376635688265546, -9.762557246766901]"
917,5,1714499538193476895,"[-8.362231491879355, -8.86822479663836, -9.204651888722024]"
928,5,1714499538294086633,"[-9.19755827488123, -9.470021537551075, -9.855842839909126]"
939,5,1714499538393611845,"[-9.185546224569054, -9.444239769914155, -9.717239886051766]"
950,5,1714499538493342777,"[-7.935244551320055, -7.919100301926532, -8.640699225208234]"
961,5,1714499538593353684,"[-7.935244551320055, -7.919100301926532, -8.640699225208234]"
972,5,1714499538693766102,"[-8.552930236929289, -8.614386311176707, -9.27036663321125]"
983,5,1714499538793679280,"[-8.849167340187003, -9.115499907174886, -9.288202444858126]"
994,5,1714499538892818363,"[-8.602529033804116, -8.72927195624475, -8.754866021947636]"
1005,5,1714499538992931738,"[-8.242798606063555, -8.840928736178183, -8.418457569803815]"
1016,5,1714499539092889438,"[-7.937068433979819, -8.234212713527244, -8.329278674183758]"
1027,5,1714499539193054455,"[-7.406895349764615, -7.314916183210103, -8.107732797569385]"
1038,5,1714499539292790908,"[-7.636205475561462, -7.835857506194002, -8.121283183214805]"
1049,5,1714499539393173146,"[-7.1283385580395855, -7.8155327730360185, -7.67127455522675]"
1060,5,1714499539493522463,"[-6.123958559966156, -5.794261915735043, -6.905098894191434]"
1071,5,1714499539593777454,"[-6.918636367504835, -7.059600219660532, -7.310157686354229]"
1082,5,1714499539693763468,"[-7.315539351721793, -7.882228866935226, -7.427176742891872]"
1093,5,1714499539793614439,"[-7.515384526545676, -8.208360186696666, -7.439913462457486]"
1104,5,1714499539893803223,"[-6.9242684432432, -6.985827648422769, -6.915181922688312]"
1115,5,1714499539993286994,"[-7.104147380777963, -7.125646697289716, -7.06787826666603]"
1126,5,1714499540093722580,"[-6.199325296239935, -5.791112137317192, -6.587074300223766]"
1137,5,1714499540193749897,"[-5.726910488217079, -5.252102093130455, -6.1114003116380715]"
1148,5,1714499540293906627,"[-7.195512707908916, -7.540990208550885, -6.973523994229892]"
1159,5,1714499540394181123,"[-7.0164297400970925, -7.342221526092134, -6.676052318915275]"
1170,5,1714499540493763736,"[-6.267536856211713, -6.923828726748355, -6.738955042464634]"
1181,5,1714499540594208764,"[-5.369419949418104, -5.579038377219785, -6.136089008616242]"
1192,5,1714499540693728396,"[-7.739885544314565, -8.687697108331157, -7.542388374508002]"
1203,5,1714499540794054785,"[-5.964138469506401, -6.127617307345209, -6.313565350971452]"
1214,5,1714499540893390542,"[-5.9648875158146, -6.278979464585182, -6.163711281168222]"
1225,5,1714499540994180588,"[-5.891711309199393, -6.5333196080307365, -6.836469450465336]"
1236,5,1714499541093957675,"[-7.315539351721793, -7.882228866935226, -7.427176742891872]"
